"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2011-01-02","400.62","400.62","400.62","400.62","0.00","0"
"NEPSE","2011-01-03","398.01","398.01","398.01","398.01","0.00","0"
"NEPSE","2011-01-04","399.59","399.59","399.59","399.59","0.00","0"
"NEPSE","2011-01-05","400.76","400.76","400.76","400.76","0.00","0"
"NEPSE","2011-01-06","400.43","400.43","400.43","400.43","0.00","0"
"NEPSE","2011-01-09","398.26","398.26","398.26","398.26","0.00","0"
"NEPSE","2011-01-10","399.47","399.47","399.47","399.47","0.00","0"
"NEPSE","2011-01-11","400.67","400.67","400.67","400.67","0.00","0"
"NEPSE","2011-01-12","400.2","400.2","400.2","400.2","0.00","0"
"NEPSE","2011-01-13","402.75","402.75","402.75","402.75","0.00","0"
"NEPSE","2011-01-16","403.12","403.12","403.12","403.12","0.00","0"
"NEPSE","2011-01-17","403.71","403.71","403.71","403.71","0.00","0"
"NEPSE","2011-01-18","403.46","403.46","403.46","403.46","0.00","0"
"NEPSE","2011-01-19","404.33","404.33","404.33","404.33","0.00","0"
"NEPSE","2011-01-20","406.9","406.9","406.9","406.9","0.00","0"
"NEPSE","2011-01-23","406.34","406.34","406.34","406.34","0.00","0"
"NEPSE","2011-01-24","410.34","410.34","410.34","410.34","0.00","0"
"NEPSE","2011-01-31","410.57","410.57","410.57","410.57","0.00","0"
"NEPSE","2011-02-01","410.48","410.48","410.48","410.48","0.00","0"
"NEPSE","2011-02-02","407.97","407.97","407.97","407.97","0.00","0"
"NEPSE","2011-02-03","406.84","406.84","406.84","406.84","0.00","0"
"NEPSE","2011-02-06","413.76","413.76","413.76","413.76","0.00","0"
"NEPSE","2011-02-07","408.47","408.47","408.47","408.47","0.00","0"
"NEPSE","2011-02-08","406.96","406.96","406.96","406.96","0.00","0"
"NEPSE","2011-02-09","405.44","405.44","405.44","405.44","0.00","0"
"NEPSE","2011-02-10","405.05","405.05","405.05","405.05","0.00","0"
"NEPSE","2011-02-13","404.14","404.14","404.14","404.14","0.00","0"
"NEPSE","2011-02-14","403.71","403.71","403.71","403.71","0.00","0"
"NEPSE","2011-02-15","404.47","404.47","404.47","404.47","0.00","0"
"NEPSE","2011-02-16","405.44","405.44","405.44","405.44","0.00","0"
"NEPSE","2011-02-17","408.19","408.19","408.19","408.19","0.00","0"
"NEPSE","2011-02-20","405.15","405.15","405.15","405.15","0.00","0"
"NEPSE","2011-02-21","404.32","404.32","404.32","404.32","0.00","0"
"NEPSE","2011-02-22","401.2","401.2","401.2","401.2","0.00","0"
"NEPSE","2011-02-23","398.5","398.5","398.5","398.5","0.00","0"
"NEPSE","2011-02-24","397.46","397.46","397.46","397.46","0.00","0"
"NEPSE","2011-02-27","394.19","394.19","394.19","394.19","0.00","0"
"NEPSE","2011-02-28","391.66","391.66","391.66","391.66","0.00","0"
"NEPSE","2011-03-01","391.22","391.22","391.22","391.22","0.00","0"
"NEPSE","2011-03-03","395.43","395.43","395.43","395.43","0.00","0"
"NEPSE","2011-03-07","394.06","394.06","394.06","394.06","0.00","0"
"NEPSE","2011-03-09","392.71","392.71","392.71","392.71","0.00","0"
"NEPSE","2011-03-10","389.81","389.81","389.81","389.81","0.00","0"
"NEPSE","2011-03-13","388.25","388.25","388.25","388.25","0.00","0"
"NEPSE","2011-03-14","384.18","384.18","384.18","384.18","0.00","0"
"NEPSE","2011-03-15","376.75","376.75","376.75","376.75","0.00","0"
"NEPSE","2011-03-16","378.83","378.83","378.83","378.83","0.00","0"
"NEPSE","2011-03-17","377.51","377.51","377.51","377.51","0.00","0"
"NEPSE","2011-03-20","377.6","377.6","377.6","377.6","0.00","0"
"NEPSE","2011-03-21","379.46","379.46","379.46","379.46","0.00","0"
"NEPSE","2011-03-22","379.32","379.32","379.32","379.32","0.00","0"
"NEPSE","2011-03-23","377.63","377.63","377.63","377.63","0.00","0"
"NEPSE","2011-03-24","376.67","376.67","376.67","376.67","0.00","0"
"NEPSE","2011-03-25","377","377","377","377","0.00","0"
"NEPSE","2011-03-27","372","372","372","372","0.00","0"
"NEPSE","2011-03-28","365","365","365","365","0.00","0"
"NEPSE","2011-03-29","358","358","358","358","0.00","0"
"NEPSE","2011-03-30","359","359","359","359","0.00","0"
"NEPSE","2011-03-31","365","365","365","365","0.00","0"
"NEPSE","2011-04-04","365","365","365","365","0.00","0"
"NEPSE","2011-04-05","364","364","364","364","0.00","0"
"NEPSE","2011-04-06","364","364","364","364","0.00","0"
"NEPSE","2011-04-07","365","365","365","365","0.00","0"
"NEPSE","2011-04-10","367","367","367","367","0.00","0"
"NEPSE","2011-04-11","365","365","365","365","0.00","0"
"NEPSE","2011-04-13","373","373","373","373","0.00","0"
"NEPSE","2011-04-17","368","368","368","368","0.00","0"
"NEPSE","2011-04-18","365","365","365","365","0.00","0"
"NEPSE","2011-04-19","364","364","364","364","0.00","0"
"NEPSE","2011-04-20","361","361","361","361","0.00","0"
"NEPSE","2011-04-21","358","358","358","358","0.00","0"
"NEPSE","2011-04-25","357","357","357","357","0.00","0"
"NEPSE","2011-04-26","356","356","356","356","0.00","0"
"NEPSE","2011-04-27","350","350","350","350","0.00","0"
"NEPSE","2011-04-28","348","348","348","348","0.00","0"
"NEPSE","2011-05-02","345","345","345","345","0.00","0"
"NEPSE","2011-05-03","340","340","340","340","0.00","0"
"NEPSE","2011-05-04","339","339","339","339","0.00","0"
"NEPSE","2011-05-05","340","340","340","340","0.00","0"
"NEPSE","2011-05-08","341","341","341","341","0.00","0"
"NEPSE","2011-05-09","341","341","341","341","0.00","0"
"NEPSE","2011-05-10","344","344","344","344","0.00","0"
"NEPSE","2011-05-11","345","345","345","345","0.00","0"
"NEPSE","2011-05-12","346","346","346","346","0.00","0"
"NEPSE","2011-05-15","349","349","349","349","0.00","0"
"NEPSE","2011-05-16","351","351","351","351","0.00","0"
"NEPSE","2011-05-18","347","347","347","347","0.00","0"
"NEPSE","2011-05-19","345","345","345","345","0.00","0"
"NEPSE","2011-05-22","344","344","344","344","0.00","0"
"NEPSE","2011-05-23","342","342","342","342","0.00","0"
"NEPSE","2011-05-24","342","342","342","342","0.00","0"
"NEPSE","2011-05-25","342","342","342","342","0.00","0"
"NEPSE","2011-05-26","345","345","345","345","0.00","0"
"NEPSE","2011-05-30","343","343","343","343","0.00","0"
"NEPSE","2011-05-31","337","337","337","337","0.00","0"
"NEPSE","2011-06-01","336","336","336","336","0.00","0"
"NEPSE","2011-06-02","334","334","334","334","0.00","0"
"NEPSE","2011-06-05","328","328","328","328","0.00","0"
"NEPSE","2011-06-06","323","323","323","323","0.00","0"
"NEPSE","2011-06-07","317","317","317","317","0.00","0"
"NEPSE","2011-06-08","311","311","311","311","0.00","0"
"NEPSE","2011-06-09","309","309","309","309","0.00","0"
"NEPSE","2011-06-12","304","304","304","304","0.00","0"
"NEPSE","2011-06-13","302","302","302","302","0.00","0"
"NEPSE","2011-06-14","298","298","298","298","0.00","0"
"NEPSE","2011-06-15","292","292","292","292","0.00","0"
"NEPSE","2011-06-16","304","304","304","304","0.00","0"
"NEPSE","2011-06-19","319","319","319","319","0.00","0"
"NEPSE","2011-06-20","331","331","331","331","0.00","0"
"NEPSE","2011-06-21","344","344","344","344","0.00","0"
"NEPSE","2011-06-23","364","364","364","364","0.00","0"
"NEPSE","2011-06-26","347","347","347","347","0.00","0"
"NEPSE","2011-06-27","330","330","330","330","0.00","0"
"NEPSE","2011-06-29","333","333","333","333","0.00","0"
"NEPSE","2011-06-30","337","337","337","337","0.00","0"
"NEPSE","2011-07-03","333","333","333","333","0.00","0"
"NEPSE","2011-07-04","334","334","334","334","0.00","0"
"NEPSE","2011-07-05","341","341","341","341","0.00","0"
"NEPSE","2011-07-06","345","345","345","345","0.00","0"
"NEPSE","2011-07-07","341","341","341","341","0.00","0"
"NEPSE","2011-07-10","346","346","346","346","0.00","0"
"NEPSE","2011-07-11","346","346","346","346","0.00","0"
"NEPSE","2011-07-12","352","352","352","352","0.00","0"
"NEPSE","2011-07-13","356","356","356","356","0.00","0"
"NEPSE","2011-07-14","363","363","363","363","0.00","0"
"NEPSE","2011-07-17","378","378","378","378","0.00","0"
"NEPSE","2011-07-18","370","370","370","370","0.00","0"
"NEPSE","2011-07-19","374","374","374","374","0.00","0"
"NEPSE","2011-07-20","380","380","380","380","0.00","0"
"NEPSE","2011-07-21","377","377","377","377","0.00","0"
"NEPSE","2011-07-24","365","365","365","365","0.00","0"
"NEPSE","2011-07-25","360","360","360","360","0.00","0"
"NEPSE","2011-07-26","357","357","357","357","0.00","0"
"NEPSE","2011-07-27","364","364","364","364","0.00","0"
"NEPSE","2011-07-28","361","361","361","361","0.00","0"
"NEPSE","2011-07-31","359","359","359","359","0.00","0"
"NEPSE","2011-08-01","358","358","358","358","0.00","0"
"NEPSE","2011-08-02","358","358","358","358","0.00","0"
"NEPSE","2011-08-03","356","356","356","356","0.00","0"
"NEPSE","2011-08-04","358","358","358","358","0.00","0"
"NEPSE","2011-08-07","354","354","354","354","0.00","0"
"NEPSE","2011-08-08","352","352","352","352","0.00","0"
"NEPSE","2011-08-09","346","346","346","346","0.00","0"
"NEPSE","2011-08-10","352","352","352","352","0.00","0"
"NEPSE","2011-08-11","353","353","353","353","0.00","0"
"NEPSE","2011-08-15","353","353","353","353","0.00","0"
"NEPSE","2011-08-16","354","354","354","354","0.00","0"
"NEPSE","2011-08-17","351","351","351","351","0.00","0"
"NEPSE","2011-08-18","353","353","353","353","0.00","0"
"NEPSE","2011-08-22","350","350","350","350","0.00","0"
"NEPSE","2011-08-23","350","350","350","350","0.00","0"
"NEPSE","2011-08-24","349","349","349","349","0.00","0"
"NEPSE","2011-08-25","347","347","347","347","0.00","0"
"NEPSE","2011-08-28","337","337","337","337","0.00","0"
"NEPSE","2011-08-29","338","338","338","338","0.00","0"
"NEPSE","2011-08-30","340","340","340","340","0.00","0"
"NEPSE","2011-09-01","342","342","342","342","0.00","0"
"NEPSE","2011-09-04","339","339","339","339","0.00","0"
"NEPSE","2011-09-05","336","336","336","336","0.00","0"
"NEPSE","2011-09-06","332","332","332","332","0.00","0"
"NEPSE","2011-09-07","331","331","331","331","0.00","0"
"NEPSE","2011-09-08","330","330","330","330","0.00","0"
"NEPSE","2011-09-12","327","327","327","327","0.00","0"
"NEPSE","2011-09-13","326","326","326","326","0.00","0"
"NEPSE","2011-09-14","319","319","319","319","0.00","0"
"NEPSE","2011-09-15","321","321","321","321","0.00","0"
"NEPSE","2011-09-18","319","319","319","319","0.00","0"
"NEPSE","2011-09-19","317","317","317","317","0.00","0"
"NEPSE","2011-09-20","320","320","320","320","0.00","0"
"NEPSE","2011-09-21","323","323","323","323","0.00","0"
"NEPSE","2011-09-22","328","328","328","328","0.00","0"
"NEPSE","2011-09-25","332","332","332","332","0.00","0"
"NEPSE","2011-09-26","331","331","331","331","0.00","0"
"NEPSE","2011-09-27","331","331","331","331","0.00","0"
"NEPSE","2011-09-29","331","331","331","331","0.00","0"
"NEPSE","2011-10-02","331","331","331","331","0.00","0"
"NEPSE","2011-10-09","331","331","331","331","0.00","0"
"NEPSE","2011-10-10","333","333","333","333","0.00","0"
"NEPSE","2011-10-12","334","334","334","334","0.00","0"
